Model,RMSE,MAE,R2,RMSPE
LightGBM,846.5138871458761,604.886412563806,0.9249090139226185,0.12425250520968856
XGBoost (tuned),862.0147185518354,612.7698974609375,0.9221338033676147,0.12628464661693245
LSTM (multivariate),1113.2050574804266,787.7845458984375,0.8701416254043579,0.18313784897327423
GRU (multivariate),1174.8898884576377,843.145751953125,0.855351448059082,0.20588764548301697
Baseline: Last Value (lag-1),2108.7981729435533,1368.4197635871935,0.5339959765174476,0.30518084995575506
Baseline: 30-Day Rolling Mean,1901.9388417527186,1427.5535934455786,0.6209358362993465,0.31181706066525755
Baseline: Same Day Last Week (lag-7),3047.383677110068,2404.135632033499,0.02686317535483862,0.4705401438808859
Transformer (multivariate),2432.3801100979263,1945.74365234375,0.38001304864883423,0.4858344793319702
